inventory_id,store_id,product_id,stock_quantity,reorder_level,last_restock_date,inventory_status
13637,57,471,487,51,2025-09-28,In Stock
14340,89,473,463,54,2024-01-18,In Stock
4937,4,807,105,48,2025-11-24,In Stock
18192,75,221,108,10,2026-06-02,In Stock
6892,89,756,141,50,2026-05-14,In Stock
13331,41,956,369,15,2024-06-01,In Stock
19005,99,862,15,55,2026-02-27,Low Stock
15341,86,971,175,36,2024-01-16,In Stock
19575,68,356,404,73,2025-07-28,In Stock
17035,37,420,365,95,2026-06-09,In Stock
8538,64,187,401,88,2024-09-30,In Stock
19763,87,995,188,95,2026-05-12,In Stock
1203,40,235,436,99,2025-10-30,In Stock
9173,74,70,144,15,2025-01-07,In Stock
4476,87,403,168,14,2025-04-05,In Stock
12440,4,719,309,33,2024-03-20,In Stock
4548,33,24,218,83,2025-04-15,In Stock
15594,1276,532,212,52,2024-07-16,In Stock
2648,44,456,112,36,2025-09-10,In Stock
19971,56,811,297,89,2025-03-27,In Stock
10376,86,218,46,46,2026-08-02,Low Stock
4446,88,502,34,58,2024-01-15,Low Stock
7797,88,56,246,45,2024-06-19,In Stock
19517,10,371,435,97,,In Stock
15415,81,587,241,26,2024-07-06,In Stock
1347,78,5,204,74,2024-02-25,In Stock
12490,76,367,246,86,2025-03-16,In Stock
17122,8,438,486,47,2024-12-17,In Stock
16814,84,195,236,88,2024-03-04,In Stock
3533,14,3,208,62,2025-01-04,In Stock
739,56,422,207,24,2024-03-28,In Stock
15147,70,253,184,55,2025-02-15,In Stock
8987,65,867,312,94,2026-01-05,In Stock
7887,99,894,362,13,2025-11-12,In Stock
386,26,475,408,81,2024-12-30,In Stock
18669,38,692,254,63,2026-07-20,In Stock
7151,35,173,268,10,2024-01-27,In Stock
11288,11,729,24,84,2024-10-30,Low Stock
5598,74,11202,471,86,2024-04-29,In Stock
2622,18,696,431,98,2025-08-19,In Stock
18545,39,581,104,77,2025-10-23,In Stock
8761,14,748,369,86,2025-09-20,In Stock
10070,71,34,361,58,2024-12-03,In Stock
11847,85,400,132,89,2026-06-27,In Stock
18582,80,684,61,67,2026-01-29,Low Stock
18796,31,642,372,50,2025-02-13,In Stock
8799,52,768,493,86,2025-02-27,In Stock
2248,19,863,417,84,2026-06-13,In Stock
5993,28,229,135,62,2025-09-29,In Stock
3722,31,270,-50,100,2024-07-24,Out of Stock
1714,22,765,445,84,2024-07-30,In Stock
16023,90,706,228,93,2025-07-12,In Stock
19587,53,825,163,37,2025-08-17,In Stock
2415,57,101,57,66,2024-10-06,Low Stock
14387,26,892,151,-20,2026-01-10,In Stock
8981,40,829,125,68,2024-10-22,In Stock
17856,62,111,431,59,2024-06-01,In Stock
3753,36,527,455,0,2026-05-25,In Stock
9230,23,631,170,78,2025-02-23,In Stock
7338,67,648,112,61,2025-03-30,In Stock
8949,8,535,37,19,2025-08-29,In Stock
13888,98,651,156,18,2025-08-14,In Stock
18123,59,186,212,41,2024-01-12,In Stock
15592,8,142,1,0,2024-03-01,In Stock
19247,53,788,264,46,2025-12-01,In Stock
9452,70,564,168,24,2027-02-21,In Stock
2009,17,926,184,28,2026-06-29,In Stock
19165,44,601,411,82,2025-02-10,In Stock
18839,67,947,221,45,2026-03-27,In Stock
11558,10,76,489,28,2024-05-27,In Stock
19753,51,618,230,34,2024-09-25,In Stock
16949,21,730,285,62,2024-01-15,In Stock
14642,97,6,344,24,2025-11-22,In Stock
11818,85,496,119,64,2026-02-08,In Stock
17599,24,126,335,13,2026-01-28,In Stock
1434,18,602,28,90,2026-01-10,Low Stock
15352,48,915,207,20,2026-04-11,In Stock
1088,23,379,439,66,2026-02-08,In Stock
10273,93,278,30,77,2025-02-10,Low Stock
15816,6,571,287,57,2024-07-11,In Stock
4610,60,938,25,50,2024-09-30,Low Stock
13577,90,295,359,11,2026-04-15,In Stock
13226,78,373,98,39,2024-09-06,In Stock
994,61,374,-10,75,2025-04-13,Out of Stock
16616,40,486,2,14,2025-06-25,Low Stock
4973,48,11,178,58,2025-01-03,In Stock
13505,9,779,236,95,2025-05-04,In Stock
18236,65,550,17,72,2024-11-09,Low Stock
3932,14,437,282,30,2024-05-20,In Stock
7428,43,551,14,80,2025-04-10,Low Stock
6271,79,56,201,90,2024-12-12,In Stock
7487,68,524,72,84,2026-05-03,Low Stock
3756,58,764,276,81,2025-03-24,In Stock
14963,62,780,57,14,2024-09-28,In Stock
7736,8,646,401,36,2026-05-07,In Stock
5021,41,833,254,91,2025-05-25,In Stock
4881,94,10,225,90,2026-07-04,In Stock
9755,79,281,230,45,2026-03-25,In Stock
4703,96,889,93,28,,In Stock
6341,22,507,219,93,2026-02-18,In Stock
14113,2,744,172,-5,2024-07-27,In Stock
19034,15,973,456,43,2025-05-27,In Stock
8876,30,576,471,13,2024-02-05,In Stock
1078,41,939,361,31,2025-05-12,In Stock
12126,29,332,460,18,2025-11-09,In Stock
12093,35,757,152,51,2025-07-13,In Stock
11379,75,538,69,33,2024-09-05,In Stock
14445,14,436,445,18,2025-10-18,In Stock
4402,63,66,485,25,2025-06-04,In Stock
18136,35,626,219,18,2024-01-28,In Stock
19943,74,643,131,86,2025-04-29,In Stock
5161,93,192,204,82,2026-05-17,In Stock
6751,93,422,256,61,2025-04-16,In Stock
18558,10,135,297,71,2025-09-26,In Stock
16919,4,600,130,100,2025-08-16,In Stock
17026,40,202,205,43,2024-04-04,In Stock
11074,25,799,316,61,2025-04-18,In Stock
6347,59,688,287,44,2024-01-01,In Stock
16931,39,592,413,61,2024-12-02,In Stock
2517,56,922,34,81,2024-01-03,Low Stock
7862,94,994,49,44,2024-09-21,In Stock
14304,91,555,472,77,2025-11-14,In Stock
16820,41,810,394,65,2024-10-01,In Stock
9503,30,402,378,95,2025-04-22,In Stock
17881,91,983,376,25,2025-12-19,In Stock
1581,43,642,49,47,2024-08-31,In Stock
7933,18,563,124,17,2024-04-22,In Stock
3795,91,212,161,35,2025-09-14,In Stock
14458,13,846,244,51,2026-07-23,In Stock
2085,60,278,26,76,2024-03-30,Low Stock
10672,1548,928,369,96,2026-10-08,In Stock
3223,95,184,206,45,2024-03-23,In Stock
1963,83,649,121,16,2026-04-30,In Stock
13764,16,905,-10,73,2025-02-13,Out of Stock
13304,53,808,473,34,2024-03-22,In Stock
5755,64,158,428,0,2024-06-09,In Stock
6671,18,196,378,-20,2025-10-10,In Stock
9145,24,212,434,94,2026-04-11,In Stock
2116,89,335,456,18,2025-08-16,In Stock
18524,71,848,142,31,2024-12-01,In Stock
9005,90,35,46,65,2025-10-22,Low Stock
5338,81,14,192,99,2025-05-22,In Stock
15971,32,949,460,18,2024-10-27,In Stock
6688,23,141,408,76,2025-11-24,In Stock
5118,23,116,314,93,2024-05-05,In Stock
14792,95,790,68,24,2025-12-29,In Stock
5218,13,464,279,13,2024-10-31,In Stock
2880,77,322,391,29,2025-11-02,In Stock
5060,82,872,275,32,2025-07-03,In Stock
3526,50,2,269,35,2026-02-24,In Stock
14361,90,932,453,47,2024-07-22,In Stock
11296,32,782,242,67,2025-05-15,In Stock
11649,37,35,385,12,2024-03-24,In Stock
2362,21,672,263,99,2026-06-29,In Stock
2172,50,101,234,32,2024-09-02,In Stock
6867,31,852,65,21,2025-01-21,In Stock
8827,53,119,443,15,2026-05-21,In Stock
7887,99,894,362,13,2025-11-12,In Stock
4038,18,316,284,20,2025-12-08,In Stock
1228,6,746,324,60,2025-09-01,In Stock
3227,81,789,443,38,2025-12-07,In Stock
6243,32,274,472,45,2025-03-20,In Stock
11657,20,804,280,58,2024-07-05,In Stock
13593,16,379,491,87,2025-01-29,In Stock
9791,93,905,-10,100,2026-01-19,Out of Stock
5551,69,991,13,74,2026-08-01,Low Stock
11099,94,654,334,56,2025-03-17,In Stock
13954,36,606,-1,64,2024-12-08,Out of Stock
18586,76,229,402,29,2025-08-01,In Stock
14371,17,877,490,75,2025-02-16,In Stock
6873,33,82,101,69,2024-03-10,In Stock
8566,51,391,450,79,2024-09-12,In Stock
12517,46,609,183,94,2024-03-22,In Stock
16562,78,189,429,58,2024-09-15,In Stock
6088,69,681,218,44,2024-12-02,In Stock
3580,82,743,293,100,2025-07-17,In Stock
17181,85,970,436,40,2026-07-20,In Stock
134,98,580,362,27,2025-05-22,In Stock
9913,83,748,446,19,2025-04-19,In Stock
3948,63,234,386,99,2025-05-05,In Stock
6071,76,282,415,47,2024-03-08,In Stock
19463,83,651,475,38,2025-09-09,In Stock
14766,2,265,374,55,2026-01-08,In Stock
3616,20,855,286,16,2026-04-23,In Stock
14118,30,264,260,13,2026-01-01,In Stock
3571,24,611,479,92,2024-11-19,In Stock
17380,99,933,148,69,2026-04-04,In Stock
6724,45,613,149,91,2025-03-07,In Stock
4820,91,252,378,89,2024-03-01,In Stock
13087,1563,232,336,97,2025-02-08,In Stock
13212,93,602,170,88,2024-11-09,In Stock
19274,42,181,387,96,2024-05-27,In Stock
12869,7,640,232,63,2026-05-24,In Stock
7576,19,704,342,-5,2025-12-01,In Stock
2938,11,960,292,17,2026-07-10,In Stock
6474,41,103,266,25,2025-06-18,In Stock
14788,83,418,233,15,2024-01-30,In Stock
452,99,55,98,15,2025-05-04,In Stock
16748,34,103,148,95,2024-08-28,In Stock
15256,1769,11963,262,72,2025-11-02,In Stock
3126,34,728,308,15,2025-04-18,In Stock
2421,82,418,255,22,2024-12-29,In Stock
14828,52,167,375,74,2024-06-09,In Stock
18244,19,447,293,92,2024-02-12,In Stock
15779,78,853,134,35,2026-05-25,In Stock
13119,31,476,69,47,2024-12-02,In Stock
14138,73,428,245,27,2025-08-15,In Stock
4510,40,74,99,47,2025-05-11,In Stock
6253,8,894,167,50,2025-04-13,In Stock
2203,65,685,201,63,2026-09-07,In Stock
13383,47,730,261,43,2026-02-23,In Stock
13710,14,850,119,26,2025-08-07,In Stock
