order_id,customer_id,product_id,store_id,order_date,quantity,unit_price,discount,payment_method,order_status
96293,330,400,34,2025-02-10,9,48677.77,2.45,Credit Card,Cancelled
32179,1890,101,9,2026-01-05,5,24874.1,21.27,Credit Card,Completed
67615,8126,743,77,2026-03-13,4,37314.74,26.77,Credit Card,Cancelled
73527,9040,850,49,,7,42987.51,2.79,Cash,Completed
35497,4635,551,16,2024-08-01,9,14100.49,13.38,Credit Card,Completed
23956,765,121,68,2024-04-16,3,19799.6,21.25,Net Banking,Completed
46915,4574,574,21,2026-03-18,2,29077.36,6.31,UPI,Completed
28412,3764,832,63,2025-10-21,5,32194.86,22.07,Cash,Pending
14905,6030,182,16,2024-04-07,10,40734.4,3.32,Credit Card,Cancelled
37304,7985,866,96,2024-10-06,9,21008.38,9.09,UPI,Returned
44898,8061,804,39,2024-02-04,2,19763.92,16.66,Cash,Completed
19290,6022,733,24,2025-08-17,1,24466.13,19.18,Net Banking,Pending
42956,2505,328,28,2025-12-27,0,44727.79,24.33,Cash,Cancelled
36839,5016,862,17,2024-03-11,10,43021.97,14.2,Credit Card,Completed
18068,8432,847,30,2025-08-15,3,49052.58,18.28,Debit Card,Completed
99595,8231,245,60,2024-12-06,4,12821.32,5.34,Credit Card,Completed
16099,8617,722,66,2025-10-27,7,10593.45,18.3,Credit Card,Cancelled
55208,7369,914,11,2024-06-19,10,17679.15,20.45,Debit Card,Completed
47939,2016,156,59,2026-03-02,7,-100.0,11.12,Credit Card,Completed
97765,7857,26,37,2026-02-09,6,30558.52,22.29,UPI,Returned
94174,5744,168,68,2026-07-11,10,21454.0,12.84,Credit Card,Cancelled
27143,7262,420,14,2024-07-10,5,31991.63,16.62,Cash,Completed
75765,1370,571,42,2024-12-13,10,28327.93,21.29,Credit Card,Completed
65600,8590,941,43,2024-09-16,3,16768.6,20.15,Net Banking,Completed
78394,3438,963,14,2024-06-22,2,47677.37,9.01,Credit Card,Completed
3320,7188,949,38,2026-06-20,8,41539.02,19.39,Debit Card,Completed
26450,9746,951,9,2025-12-05,4,46256.49,25.11,UPI,Completed
58520,4704,440,85,2025-06-07,6,29455.82,14.79,Cash,Cancelled
47090,9702,752,1850,2025-12-30,9,49531.06,3.77,Debit Card,Returned
27138,5727,370,91,2025-02-08,8,19922.31,22.83,Credit Card,Returned
2181,3727,897,87,2024-06-14,3,18438.26,6.27,UPI,Cancelled
31632,9093,135,62,2026-03-28,8,45519.75,6.44,Net Banking,Completed
77931,7672,969,85,2025-12-14,7,15871.42,28.42,Cash,Completed
96075,177,547,31,2025-06-30,5,38832.65,21.33,Debit Card,Completed
3787,1044,523,90,2025-08-15,8,36313.27,27.61,Net Banking,Returned
96110,3094,235,93,2025-11-28,1,18248.04,9.69,Debit Card,Pending
52712,9848,522,2,2024-12-27,8,25301.8,4.43,UPI,Completed
36240,4907,206,9,2025-07-15,5,20011.19,12.09,Debit Card,Completed
14557,4178,730,50,2025-05-03,3,32625.75,19.05,Debit Card,Returned
46750,5914,472,52,2024-04-06,8,43500.98,14.68,Debit Card,Cancelled
97347,4086,499,98,2025-06-06,3,34174.79,1.16,Credit Card,Completed
7876,5298,159,52,2025-06-03,8,21062.85,17.32,Cash,Completed
95413,2587,631,74,2025-10-25,2,19227.0,10.19,Net Banking,Pending
45554,1371,767,7,2026-03-23,8,24564.72,3.05,UPI,Completed
64102,5234,808,83,2024-02-23,10,31354.41,28.71,Net Banking,Returned
11070,8811,929,76,2026-01-07,5,21152.29,5.64,Credit Card,Cancelled
467,8680,681,85,2024-11-20,8,7619.16,20.99,UPI,Completed
70485,6901,352,29,2025-09-25,7,25464.39,10.39,Debit Card,Cancelled
13344,1831,550,29,2024-02-15,6,39197.27,11.05,Debit Card,Cancelled
25051,136082,676,44,2025-01-05,8,33237.9,23.38,UPI,Completed
55441,9630,63,21,2026-01-29,1,29476.61,14.42,Credit Card,Completed
4473,198730,830,25,2025-07-10,9,1173.76,25.22,Net Banking,Cancelled
26957,2178,817,49,2025-01-16,6,27219.54,13.66,Cash,Completed
10981,7968,184,18,2025-05-29,7,30288.41,11.67,Debit Card,Completed
95360,1550,513,10,2025-12-23,2,44738.8,2.07,UPI,Completed
30543,3201,578,30,2024-09-10,9,14464.23,6.74,Net Banking,Completed
69493,3155,114,17,2024-10-26,4,39692.36,13.14,Net Banking,Completed
7163,2653,755,22,2026-06-30,3,2124.05,13.16,UPI,Completed
41350,2056,785,65,2026-04-11,3,16183.29,4.91,Net Banking,Completed
8823,6495,131,29,2024-07-14,1,36189.41,29.8,Debit Card,Cancelled
16535,8447,509,57,2024-11-21,1,30071.98,14.58,UPI,Cancelled
56687,7140,357,52,2025-06-09,8,13496.96,21.1,UPI,Completed
63101,9843,510,41,2026-05-16,4,23163.81,9.27,Debit Card,Returned
87449,1072,954,53,2024-05-28,6,6815.53,6.88,Cash,Pending
67240,4224,641,71,2025-08-05,9,34353.64,17.12,Debit Card,Returned
2484,6485,324,90,2025-04-06,7,13706.39,15.15,Debit Card,Cancelled
62351,4225,71,97,2025-01-31,10,2008.0,27.54,Debit Card,Completed
7321,3672,915,6,2024-09-29,5,22376.55,19.9,Credit Card,Completed
93127,4236,784,37,2025-10-11,10,20880.62,17.67,UPI,Completed
52387,7284,84,3,2024-12-01,6,-500.0,1.24,UPI,Cancelled
92754,5118,767,25,2025-11-14,1,21399.59,24.93,Cash,Returned
58285,2534,256,51,2024-08-14,5,33893.58,4.22,Credit Card,Completed
1748,4593,77,42,2025-02-26,10,2494.97,18.7,UPI,Completed
89594,2331,901,19,2026-07-03,9,24486.96,5.13,Debit Card,Completed
31061,9615,538,89,2025-05-04,-1,2195.6,18.15,UPI,Completed
53437,6941,301,97,2024-01-19,1,29826.34,17.89,Cash,Returned
80272,5563,872,19,2024-05-01,5,34871.4,25.77,UPI,Completed
41081,9715,26,45,2025-05-26,1,46895.37,6.59,Net Banking,Completed
45895,114219,77,79,2025-07-18,5,477.66,19.75,Cash,Completed
38416,4692,430,23,2024-01-26,4,29691.54,0.38,UPI,Cancelled
86825,9682,345,85,2026-05-01,6,7582.03,15.0,Cash,Pending
57275,987,130,21,2024-06-09,2,27142.92,14.85,Debit Card,Pending
84874,2909,488,65,2026-03-01,3,24036.73,21.22,Net Banking,Completed
37522,2016,618,15,2025-05-15,4,38676.23,8.31,Credit Card,Cancelled
65051,4002,667,39,2024-08-23,5,5714.08,1.62,Net Banking,Completed
45546,551,18444,19,2026-05-11,10,10613.11,17.21,Credit Card,Returned
31591,1134,398,97,2025-08-30,4,21637.04,5.57,Cash,Completed
15470,7478,282,71,2026-01-07,2,29173.28,27.24,UPI,Completed
99683,147,45,5,2025-10-04,2,5578.67,12.85,Debit Card,Returned
30419,8340,46,34,2026-01-02,3,18092.43,6.57,Cash,Completed
79499,2054,12,31,2024-11-25,8,44999.63,23.03,Net Banking,Cancelled
20283,1183,377,55,2024-03-18,3,38012.37,17.4,UPI,Pending
20428,9850,264,94,2026-06-03,-5,46176.31,8.83,Net Banking,Cancelled
94818,2655,399,94,2025-10-11,6,43992.53,23.63,Credit Card,Cancelled
91232,4074,331,22,2024-05-06,9,33998.25,30.0,UPI,Returned
14732,1775,466,78,2026-06-09,2,17139.35,12.86,UPI,Returned
34531,9550,935,69,2026-04-07,10,8413.11,9.37,Net Banking,Completed
84987,6871,511,51,2026-07-29,10,8050.85,3.05,Credit Card,Completed
72051,2381,528,35,2026-03-20,2,23077.06,21.2,Credit Card,Completed
70824,4393,12,4,2024-06-28,6,39262.59,12.3,UPI,Completed
7521,944,275,21,2024-07-09,5,1080.04,12.26,Credit Card,Pending
805,6116,328,43,2025-12-02,2,27187.96,15.76,Debit Card,Completed
19165,7508,376,11,2027-02-11,2,31887.24,26.99,UPI,Completed
12957,9298,612,22,2024-03-20,5,19755.11,15.26,UPI,Returned
65460,1337,694,3,2024-10-02,9,34781.62,18.19,UPI,Pending
91459,3351,805,11,2025-06-13,8,694.49,27.65,Net Banking,Cancelled
32730,9084,538,19,2025-10-09,8,25342.64,6.41,UPI,Returned
21453,4910,970,51,2024-05-25,10,22039.26,23.07,Cash,Cancelled
73684,4153,928,22,2025-05-15,6,16434.13,19.44,Net Banking,Completed
43837,148,546,85,2026-05-12,2,22599.53,13.78,Credit Card,Completed
83717,8333,427,25,2026-06-14,3,44291.17,1.19,Cash,Returned
54199,4053,449,83,2024-06-20,3,19678.36,24.43,Credit Card,Completed
22331,208,188,18,2025-01-10,1,31593.3,18.81,Credit Card,Pending
40540,4376,866,38,2024-02-22,8,5354.54,12.02,Net Banking,Returned
46505,6637,335,48,2024-11-01,3,7378.84,0.06,Credit Card,Pending
66626,2940,299,28,2025-06-24,8,47414.13,8.65,Cash,Completed
8312,5649,927,63,2024-06-17,5,17326.26,4.45,Credit Card,Completed
97569,9362,96,69,2025-12-17,7,27646.77,20.96,Cash,Completed
64349,2926,745,82,2025-02-21,-1,23892.05,20.69,Cash,Returned
27070,2335,15677,62,2025-12-06,5,44519.2,23.86,UPI,Pending
77956,7661,217,50,2024-06-13,1,37969.46,6.39,UPI,Pending
2998,3649,141,53,2024-12-14,2,28291.41,15.83,Credit Card,Completed
69683,6872,673,54,2024-01-24,1,32251.35,0.75,Net Banking,Pending
23182,103,871,70,2025-01-27,3,41500.69,22.78,UPI,Pending
81993,4152,441,37,2024-07-03,5,10781.35,0.96,Cash,Completed
51538,9815,53,54,2024-11-26,3,44921.17,3.65,Debit Card,Cancelled
68604,1591,650,53,2025-06-05,2,11262.33,12.45,Credit Card,Pending
49545,2155,363,42,2025-11-29,8,46390.73,20.3,Debit Card,Completed
83380,2219,59,64,2026-05-04,4,20211.52,7.64,Debit Card,Pending
26865,8258,589,88,2024-12-21,8,19808.66,15.74,Debit Card,Returned
53994,5694,838,63,2025-09-23,4,47259.82,1.52,Debit Card,Completed
99734,4948,747,80,2026-02-21,8,8976.06,15.32,Net Banking,Returned
94282,7371,911,66,2024-08-02,3,48800.59,12.86,Net Banking,Completed
9664,2537,789,57,2025-03-10,8,32061.19,9.65,Net Banking,Pending
32843,8304,528,96,2025-07-26,-1,37656.28,11.36,UPI,Pending
57041,8968,544,63,2025-07-30,10,3275.92,18.08,Debit Card,Cancelled
5541,2415,716,14,2024-02-27,8,13715.66,16.94,Credit Card,Completed
88189,7465,501,56,2025-10-15,5,26404.31,9.65,Cash,Completed
25253,713,934,37,2024-05-21,9,31824.01,22.17,Credit Card,Pending
15880,8903,160,41,2024-01-22,9,39398.56,25.29,Debit Card,Cancelled
579,5471,888,68,2025-05-06,9,16093.37,4.64,Net Banking,Completed
26101,1259,84,57,2025-04-12,5,31415.52,18.28,UPI,Completed
38249,6031,117,62,2025-07-03,4,41982.24,18.38,Debit Card,Completed
44883,9526,822,38,2024-11-15,9,7210.68,29.19,Debit Card,Pending
25615,7207,484,36,2026-01-30,2,2672.52,26.46,Credit Card,Returned
93329,6081,268,22,2024-08-01,9,27523.3,22.41,Cash,Completed
59472,717,279,53,2026-01-30,4,21748.3,5.69,Debit Card,Completed
57085,8577,550,45,2024-07-05,6,27618.57,25.53,Cash,Completed
38681,2478,334,14,2026-05-09,8,15805.28,11.15,Debit Card,Completed
40213,1603,789,23,2025-08-09,8,36344.74,18.17,UPI,Pending
18347,4215,636,24,2024-01-12,2,16745.13,10.04,Debit Card,Cancelled
42271,2513,108,43,2025-06-01,4,5357.33,26.19,UPI,Pending
17437,7221,862,7,2024-03-13,7,7901.05,28.61,Net Banking,Returned
79578,4445,648,92,2024-10-25,2,16251.86,17.79,Cash,Completed
33113,365,629,44,2026-01-29,7,13591.18,1.78,Debit Card,Returned
23538,6209,269,12,2025-05-01,10,18771.2,12.53,Debit Card,Returned
36864,9418,922,84,2025-08-30,2,6374.98,18.47,Credit Card,Completed
51198,3201,486,86,2026-03-13,10,39657.25,3.12,Net Banking,Completed
97584,4365,703,68,2025-05-10,10,45148.44,16.18,UPI,Cancelled
51634,9723,487,5,2027-07-16,10,19097.96,20.63,Credit Card,Completed
75921,3831,481,57,2026-05-31,6,29227.81,21.57,UPI,Completed
80630,8437,794,60,2025-03-14,3,46124.9,26.5,UPI,Completed
47321,2352,760,35,2024-11-16,8,5837.88,1.83,Debit Card,Completed
37013,6665,991,3,2026-03-04,4,10554.32,7.26,Net Banking,Pending
21759,2745,256,23,2024-10-19,1,26996.51,27.66,Debit Card,Completed
12929,2285,749,94,2025-05-13,1,11589.76,16.93,Net Banking,Completed
48685,3131,28,76,2024-06-28,2,23171.13,24.88,UPI,Completed
21218,1325,161,61,2025-08-29,1,12231.25,10.96,Cash,Completed
37802,2403,718,69,2025-09-12,9,18836.94,21.21,UPI,Returned
64546,8752,104,1,2024-05-17,2,45738.34,17.68,Net Banking,Completed
33328,146370,988,10,,10,17289.02,2.5,Debit Card,Completed
29430,5988,782,8,2026-04-10,8,7433.69,7.45,Net Banking,Completed
7390,8733,263,96,2025-12-28,6,12876.84,11.13,Debit Card,Cancelled
85537,3811,480,74,2026-01-22,8,6352.85,21.05,Net Banking,Completed
27603,6898,764,3,2025-05-12,9,20649.71,4.37,Debit Card,Completed
36615,5013,72,46,2025-10-26,9,46115.42,21.74,Credit Card,Completed
78607,5133,623,58,2024-08-30,3,43263.12,26.12,Credit Card,Completed
37594,51,778,9,2026-01-07,3,19364.54,13.74,Cash,Returned
8297,4002,592,28,2026-04-28,4,12677.49,18.21,Credit Card,Returned
35415,2443,637,49,2024-04-05,9,19434.19,2.34,UPI,Completed
86540,1281,813,61,2025-12-20,7,30903.41,6.23,UPI,Cancelled
64775,429,927,16,2026-07-19,7,35781.89,22.74,UPI,Returned
70525,4015,30,46,2025-06-26,3,24064.2,6.68,Net Banking,Completed
45408,7759,103,49,2024-09-26,1,27664.5,9.27,Credit Card,Pending
70352,3004,530,87,2027-05-29,5,22223.41,3.76,Cash,Returned
77405,3096,484,19,2025-11-22,1,49273.48,16.8,Cash,Pending
14546,7136,90,70,2025-03-03,3,21749.94,23.85,Net Banking,Completed
21895,4013,301,46,2024-03-16,10,28767.24,28.93,Debit Card,Completed
929,1751,700,50,2024-04-17,10,28693.85,15.57,Cash,Completed
79711,4008,359,69,2025-04-18,9,29381.61,3.18,Credit Card,Completed
83898,7407,744,23,2025-04-09,3,23701.64,23.62,Debit Card,Completed
26870,119055,444,50,2024-05-07,5,17365.45,3.57,UPI,Completed
34204,1495,865,2,2025-11-13,7,8933.38,28.65,UPI,Returned
18251,1892,453,35,2025-03-27,9,32723.17,8.7,Cash,Cancelled
13236,7434,306,77,2026-10-28,2,7934.25,6.1,Net Banking,Cancelled
54176,9269,362,23,2024-03-01,9,24211.22,29.92,Debit Card,Returned
99250,7332,852,63,2024-07-09,8,47030.96,23.9,UPI,Completed
59309,4890,721,98,2026-05-21,4,49151.55,3.98,Debit Card,Returned
24804,7693,920,37,2024-12-01,2,20174.48,19.39,Debit Card,Completed
44967,1494,565,49,2027-05-03,3,4685.97,24.84,UPI,Cancelled
34155,3774,29,54,2026-06-15,5,26590.84,11.85,Debit Card,Completed
72558,9241,256,93,2026-05-05,5,48882.48,10.45,Credit Card,Pending
87919,1113,116,54,2024-01-06,7,18585.38,4.97,Debit Card,Completed
59420,2871,681,77,2024-12-01,2,27139.73,5.01,UPI,Completed
49433,269,722,70,2026-01-18,2,12351.64,19.02,Cash,Returned
11804,2009,623,66,2025-08-05,3,37211.52,20.92,UPI,Completed
67514,4228,579,76,2026-01-25,2,15278.54,1.6,Net Banking,Cancelled
4338,4361,478,93,2026-06-17,7,39819.72,28.65,Credit Card,Completed
98220,9965,21,21,2025-09-07,1,46805.79,24.07,Credit Card,Cancelled
50929,5871,218,54,2024-04-28,5,20676.27,25.83,UPI,Cancelled
48859,2348,340,18,2025-03-06,8,27898.98,18.79,Credit Card,Cancelled
85952,1693,505,26,2024-08-12,2,35190.78,28.06,UPI,Completed
30984,3310,291,29,2025-07-24,1,23482.39,14.45,UPI,Pending
57872,1295,102,56,2025-05-09,6,11046.43,17.83,Debit Card,Pending
87687,4092,233,64,2024-10-16,1,36025.59,20.38,Credit Card,Completed
2030,1213,363,60,2025-09-10,9,18797.84,18.49,Net Banking,Completed
65279,8596,630,40,2024-07-14,5,22287.92,23.17,Debit Card,Cancelled
31660,6032,94,71,2024-05-15,5,4760.38,19.53,Cash,Returned
74483,7196,489,19,2025-06-24,4,45114.81,12.77,Net Banking,Cancelled
46321,3307,95,77,2024-09-01,6,38818.79,26.01,Net Banking,Cancelled
85888,8446,807,100,2024-10-01,7,3947.73,17.77,Debit Card,Cancelled
46057,4264,311,93,2027-03-25,7,15676.8,19.34,Debit Card,Cancelled
67706,9914,470,24,2026-03-20,7,48985.8,14.09,UPI,Returned
16616,9094,773,90,2026-02-15,5,24350.58,10.63,Cash,Completed
26622,3725,533,64,2025-03-19,1,20859.8,29.0,Debit Card,Completed
25389,9159,199,62,2026-02-08,9,23887.17,10.29,UPI,Completed
12671,5216,832,1548,2024-08-22,8,34747.6,4.08,Credit Card,Returned
15114,4204,142,39,2026-04-12,4,34865.72,6.17,Credit Card,Pending
25000,4863,548,61,2024-09-30,8,3843.47,12.47,Debit Card,Pending
94504,6934,844,37,2024-09-24,2,7068.67,25.7,Net Banking,Completed
73734,1391,253,96,2026-02-20,3,46309.54,24.78,Debit Card,Completed
5439,1226,481,68,2024-02-10,2,43300.32,20.66,Debit Card,Pending
48500,8435,240,29,2024-05-11,6,34779.01,20.38,Debit Card,Completed
76901,5864,567,29,2025-06-30,3,26092.53,7.1,Cash,Completed
41351,9472,81,6,2025-12-09,9,7868.92,7.13,Credit Card,Cancelled
41996,3710,587,23,2025-07-23,1,9167.64,1.58,Net Banking,Completed
4073,5659,624,59,2026-06-18,9,19862.14,24.72,Credit Card,Completed
71567,2341,558,84,2026-01-24,4,34964.54,20.3,Debit Card,Returned
75971,6239,585,7,2024-01-03,7,47415.99,10.55,Credit Card,Cancelled
76444,8722,69,17,2025-11-03,2,24725.99,14.55,Debit Card,Completed
34791,2034,69,10,2026-03-18,10,9055.87,8.27,Credit Card,Completed
78397,5116,676,45,2025-06-28,2,6965.32,21.02,Credit Card,Completed
56611,3618,821,10,2025-05-17,4,38574.01,19.58,Net Banking,Completed
56622,4630,194,72,2025-03-28,7,22103.93,5.77,Cash,Pending
73986,5201,826,12,2024-06-13,9,31355.9,28.79,Cash,Completed
25088,7227,200,6,2024-11-02,9,31614.34,7.28,Cash,Completed
99884,6652,772,58,2025-10-08,2,20210.99,14.39,Cash,Returned
61932,1477,58,35,2025-07-10,7,20556.37,10.91,UPI,Cancelled
3549,5621,913,71,2024-11-28,7,2803.96,29.28,Cash,Pending
65494,9398,881,22,2025-09-03,9,16751.64,21.18,Credit Card,Pending
11007,7208,460,95,2027-04-09,9,39202.37,21.57,UPI,Completed
61092,5430,920,67,2025-08-07,7,18262.56,5.82,Debit Card,Completed
66800,1295,818,45,2025-01-21,1,25792.61,21.19,Debit Card,Completed
20653,2162,199,24,2025-05-21,8,1038.52,22.75,Credit Card,Cancelled
66744,4478,876,58,2024-10-07,10,44325.09,16.11,Net Banking,Returned
31756,6060,599,71,2025-04-17,1,30422.83,23.38,UPI,Cancelled
39651,3107,645,61,2025-10-15,7,11938.89,26.48,Credit Card,Pending
19592,5935,217,48,2024-02-20,9,34470.13,22.45,Net Banking,Pending
5448,4273,385,45,2025-12-06,7,3093.34,25.82,Debit Card,Cancelled
68439,705,972,61,2024-07-19,2,6231.64,12.3,Debit Card,Cancelled
32103,6425,440,85,2026-06-07,9,13865.1,16.44,Cash,Pending
79475,8515,865,57,2025-03-31,10,22725.54,1.83,Debit Card,Completed
88320,9467,414,81,2026-06-10,7,18461.44,23.28,Cash,Completed
94179,333,57,76,2026-05-10,2,47604.83,22.06,Credit Card,Returned
86548,9381,554,46,2026-04-27,9,41047.89,17.57,Cash,Returned
71957,4697,702,2,2025-06-23,5,42979.48,16.43,Net Banking,Pending
33208,4002,304,13,2024-07-17,9,13972.86,8.07,Cash,Cancelled
2350,8629,866,18,2024-10-21,3,21804.47,0.89,UPI,Completed
44493,5399,922,25,2024-07-16,7,6273.58,15.35,Credit Card,Completed
93253,9427,246,62,2024-04-14,8,27219.43,2.09,Net Banking,Cancelled
45142,1572,605,94,2024-08-21,3,49427.88,14.51,Debit Card,Completed
54012,4536,498,44,2025-04-16,2,14489.1,27.46,UPI,Completed
47218,3727,39,79,2024-02-19,6,30454.47,24.34,Net Banking,Returned
12451,924,644,57,2024-06-27,7,29677.17,29.37,Debit Card,Completed
29538,4662,650,13,2025-09-14,6,11641.92,7.79,Credit Card,Pending
31403,6440,83,98,2025-11-10,10,2271.8,15.65,UPI,Cancelled
79168,6297,237,75,2024-07-08,1,757.49,3.92,Debit Card,Completed
70218,7,276,11,2024-04-01,5,36120.21,25.94,UPI,Cancelled
58438,3077,161,7,2024-06-30,8,1642.14,5.96,Net Banking,Cancelled
79182,6523,287,13,2025-08-02,8,34035.61,15.0,Debit Card,Pending
1448,7474,4,62,2025-11-26,10,5851.13,21.2,Net Banking,Completed
10900,6716,421,78,2025-07-18,5,38393.32,3.01,Credit Card,Completed
30670,8010,15,8,2025-09-18,10,10051.39,20.03,Debit Card,Completed
35270,3699,928,21,,4,17258.14,26.47,Cash,Returned
18192,1616,878,4,2025-10-10,4,17906.97,5.39,Credit Card,Completed
34272,5887,364,28,2024-03-10,7,32227.31,7.31,Net Banking,Returned
